name,uses_cleaned_llm
T-98 Paediatric Drops,T-98 Pediatric Drops is utilized for providing pain relief and reducing fever in children.
Tide Plus 10 Tablet,Tide Plus 10 Tablet is used for the management of edema (swelling due to fluid accumulation).
Tonact 10 Tablet,Tonact 10 Tablet is utilized for managing high cholesterol levels and preventing potential heart attacks.
Triglynase 2 Tablet SR,Triglynase 2 Tablet SR is used for the management of Type 2 diabetes mellitus.
Terbinaforce Cream,Terbinaforce Cream is utilized for the treatment of fungal skin infections.
Torex Cough Syrup,Torex Cough Syrup is utilized for the relief of cough symptoms.
Testoviron Depot 250 Injection,Testoviron Depot 250 Injection is utilized for the treatment of male hypogonadism.
Temoside 250 Capsule,Temoside 250 Capsule is utilized for the treatment of brain tumors.
Tugain 5% Solution,Tugain 5% Solution is used for the treatment of hair loss.
Taxim-O Drops,Taxim-O Drops are used for the treatment of various bacterial infections.
Topaz 25 Tablet,"Topaz 25 Tablet is utilized for the management of epilepsy and seizures, migraines, as well as Lennox-Gastaut syndrome."
Tacroz Forte Ointment,Tacroz Forte Ointment is used for the treatment of Atopic Dermatitis.
Trenaxa Injection 5ml,Trenaxa Injection 5ml is utilized for the management of bleeding conditions.
Triluma Cream,"Triluma Cream is utilized for the treatment of melasma, a common skin condition characterized by patches of discoloration."
Thiamin Injection,Thiamin Injection is used to address nutritional deficiencies.
Texakind-MF Tablet,Texakind-MF Tablet is used for managing heavy menstrual bleeding and alleviating menstrual pain.
Tofe Tablet,Tofe Tablet is utilized for the treatment of Rheumatoid Arthritis.
Targocid 400mg Injection,Targocid 400mg Injection is used for the treatment of severe bacterial infections.
Trapic 500mg Tablet,Trapic 500mg Tablet is used for the management of bleeding conditions.
Telma-CT 40/6.25 Tablet,Telma-CT 40/6.25 Tablet is used for managing hypertension (high blood pressure).
Telvas H 40/12.5 Tablet,Telvas H 40/12.5 Tablet is used for the management of hypertension (high blood pressure).
Tazzle 10 Tablet,Tazzle 10 Tablet is utilized for the treatment of both erectile dysfunction and pulmonary arterial hypertension.
Telmikind-AMH Tablet,Telmikind-AMH Tablet is utilized for managing hypertension (high blood pressure).
Telma-AM H 40 Tablet,Telma-AM H 40 Tablet is used for the management of hypertension (high blood pressure).
Trinerve LC Tablet,Trinerve LC Tablet is utilized for addressing nutritional deficiencies.
Tamdura Capsule PR,Tamdura Capsule PR is used for the treatment of benign prostatic hyperplasia (BPH).
Tazar 4.5g Injection,Tazar 4.5g Injection is utilized for the treatment of various bacterial infections.
Topisal 6% Ointment,Topisal 6% Ointment is used for the treatment of skin conditions such as Eczema and Psoriasis.
Tazloc-AM Tablet,"Tazloc-AM Tablet is utilized for managing hypertension, a condition characterized by elevated blood pressure."
Tiniba 500 Tablet,Tiniba 500 Tablet is used for the treatment of both bacterial and parasitic infections.
Tenovate-M Cream,Tenovate-M Cream is used for the treatment of various skin infections.
Tadaflo 5 Tablet,Tadaflo 5 Tablet is used for the treatment of erectile dysfunction.
Teczine 10 Tablet,Teczine 10 Tablet is utilized for managing various allergic conditions.
Testosterone Undecanoate 40mg Capsule,Testosterone Undecanoate 40mg Capsule is utilized for the treatment of male hypogonadism.
Tizan 2 Tablet,Tizan 2 Tablet is utilized for muscle relaxation purposes.
Tolperitas-D Tablet,Tolperitas-D Tablet is utilized for managing pain caused by muscle spasms.
T-Bact 2% Ointment,T-Bact 2% Ointment is utilized for the treatment of bacterial skin infections.
TusQ-DX SF Syrup,TusQ-DX SF Syrup is utilized for the treatment of dry coughs.
Tobastar F Eye Drop,Tobastar F Eye Drop is utilized for the treatment of bacterial eye infections.
Trinicalm Plus Tablet,Trinicalm Plus Tablet is utilized for the management of Schizophrenia.
Tamodex 20mg Tablet,Tamodex 20mg Tablet is utilized for the treatment of breast cancer.
Tonact 40 Tablet,Tonact 40 Tablet is used for managing high cholesterol levels as well as prevention of heart attacks.
Tricaine Mps Gel Cardamom Sugar Free,"Tricaine MPS Gel, Cardamom Sugar-Free is utilized for managing symptoms of acidity, treating stomach ulcers, and reducing bloating."
Tide 10 Tablet,Tide 10 Tablet is used for managing hypertension (high blood pressure) and edema (swelling due to fluid retention).
Thyronorm 75mcg Tablet,Thyronorm 75mcg Tablet is used for the treatment of hypothyroidism.
Tacroz Ointment,Tacroz Ointment is used for the treatment of atopic dermatitis.
Tolperitas 150 Tablet,Tolperitas 150 Tablet is used for muscle relaxation.
Tresiba 100IU/ml Flextouch,Tresiba 100IU/ml Flextouch is utilized for the management of diabetes.
Turbocort Oromucosal Paste,Turbocort Oromucosal Paste is utilized for the treatment of mouth ulcers.
Topamac 25mg Tablet,"Topamac 25mg Tablet is utilized for the management of epileptic seizures, migraines, and Lennox-Gastaut syndrome."
Tazloc Trio 40 Tablet,Tazloc Trio 40 Tablet is used for managing hypertension (high blood pressure).
Telmikind-CT 40 Tablet,Telmikind-CT 40 Tablet is utilized for the management of hypertension (high blood pressure).
Torglip M 50/500 Tablet,Torglip M 50/500 Tablet is utilized for the management of Type 2 diabetes mellitus.
Taxim-O DT 100 Tablet,Taxim-O DT 100 Tablet is utilized for the treatment of various bacterial infections.
Tazloc-Beta 25 Tablet PR,Tazloc-Beta 25 Tablet PR is utilized for managing hypertension (high blood pressure).
Texakind 500mg Tablet,Texakind 500mg Tablet is used for managing bleeding conditions.
Trajenta Duo 2.5mg/500mg Tablet,Trajenta Duo 2.5mg/500mg Tablet is utilized for managing Type 2 diabetes mellitus.
Telvas-CT 40 Tablet,Telvas-CT 40 Tablet is used for managing high blood pressure (Hypertension).
Tretiva 20 Capsule,Tretiva 20 Capsule is used for the treatment of acne.
Tinnex Capsule,Tinnex Capsule is utilized for managing symptoms such as tinnitus (ringing in the ears) and abdominal pain.
Tiova Inhaler,Tiova Inhaler is utilized for the management of chronic obstructive pulmonary disease (COPD).
Taxim-O CV 200 Tablet,Taxim-O CV 200 Tablet is used for the treatment of bacterial infections.
T-Minic Syrup Orange,T-Minic Syrup Orange is utilized for the treatment of common colds.
Tenovate Ointment,Tenovate Ointment is used to treat various allergic skin conditions.
Terbinaforce 500 Tablet,Terbinaforce 500 Tablet is used for the treatment of various fungal infections.
Toujeo 300 U/mL Solostar,Toujeo 300 U/mL Solostar is utilized for the management of Type 1 and Type 2 diabetes.
Tazloc-Beta 50 Tablet PR,Tazloc-Beta 50 Tablet PR is utilized for the management of hypertension (high blood pressure).
Tricort 40 Injection,Tricort 40 Injection is utilized for the treatment of both rheumatoid arthritis and osteoarthritis.
Tazomac 4.5gm Injection,Tazomac 4.5gm Injection is used for treating various bacterial infections.
Tolpa D Tablet,Tolpa D Tablet is utilized for providing pain relief.
Thyronorm 12.5mcg Tablet,Thyronorm 12.5mcg Tablet is used for the treatment of hypothyroidism.
Telma-LN 40 Tablet,Telma-LN 40 Tablet is used for the management of hypertension (high blood pressure).
Tazloc-CT 40 Tablet,Tazloc-CT 40 Tablet is used for the management of hypertension (high blood pressure).
Tripride 2 Tablet SR,Tripride 2 Tablet SR is used for the management of Type 2 diabetes mellitus.
Telma-CT 40/12.5 Tablet,Telma-CT 40/12.5 Tablet is utilized for the management of hypertension (high blood pressure).
Tidilan 10 Tablet,"Tidilan 10 Tablet is utilized in the management of preterm labor, peripheral vascular disease, and certain aspects of labor."
Telmikind-Trio 6.25 Tablet,Telmikind-Trio 6.25 Tablet is used for the management of hypertension (high blood pressure).
Telvas Beta 50 Tablet ER,Telvas Beta 50 Tablet ER is utilized for the management of hypertension (high blood pressure).
Telmikind Beta 50 Tablet ER,Telmikind Beta 50 Tablet ER is used for managing hypertension (high blood pressure).
Tazzle 5 Tablet,Tazzle 5 Tablet is used for the treatment of erectile dysfunction.
Tonact-ASP 75 Capsule,Tonact-ASP 75 Capsule is used for the prevention of recurrent heart attacks and strokes.
Tranostat Tablet,Tranostat Tablet is utilized for managing various forms of bleeding.
Taxim-O 400 Tablet,Taxim-O 400 Tablet is used for the treatment of bacterial infections.
Theo-Asthalin Tablet,Theo-Asthalin Tablet is utilized for the management of asthmatic conditions.
Telmikind Beta 40mg/25mg Tablet ER,Telmikind Beta 40mg/25mg Tablet ER is utilized for managing hypertension (high blood pressure).
Tonact 20 Tablet,Tonact 20 Tablet is used for managing high cholesterol levels and preventing recurrent heart attacks.
Telma-Beta 25 Tablet ER,Telma-Beta 25 Tablet ER is used for the management of hypertension (high blood pressure).
Topcef 200 Tablet DT,Topcef 200 Tablet DT is used for the treatment of various bacterial infections.
Trigabantin 100 Tablet,Trigabantin 100 Tablet is utilized for managing neuropathic pain.
Telista 40 Tablet,"Telista 40 Tablet is utilized for the management of hypertension (high blood pressure), as well as the prevention of heart attacks and strokes. Additionally, it is indicated for the treatment of heart failure."
Telvas Beta 25 Tablet ER,Telvas Beta 25 Tablet ER is utilized for managing hypertension (high blood pressure).
Topifort-NX Topical Suspension,Topifort-NX Topical Suspension is utilized for the treatment of various skin infections.
Tenvir Tablet,Tenvir Tablet is utilized for the treatment of chronic hepatitis B virus infections.
Topcid 40 Tablet,"Topcid 40 Tablet is used for the treatment of gastroesophageal reflux disease, peptic ulcer disease, and heartburn."
Telmikind 20 Tablet,"Telmikind 20 Tablet is used for the management of hypertension (high blood pressure), prevention of recurrent heart attacks, and treatment of heart failure."
Trapic E Tablet,Trapic E Tablet is used for managing heavy menstrual bleeding.
Triolmezest 40 Tablet,Triolmezest 40 Tablet is used for managing high blood pressure (Hypertension).
Telma-Beta 50 Tablet ER,Telma-Beta 50 Tablet ER is utilized for managing hypertension (high blood pressure).
Tadacip 20 Tablet,Tadacip 20 Tablet is utilized for the treatment of both erectile dysfunction and pulmonary arterial hypertension.
Tresiba 100 Units/ml Penfill,Tresiba 100 Units/ml Penfill is used for the management of Type 1 and Type 2 diabetes mellitus.
Typbar TCV Vaccine,Typbar TCV Vaccine is administered for the prevention of typhoid fever.
Topisal 6% Lotion,Topisal 6% Lotion is used for the management of eczema and psoriasis conditions.
Tinnicar Capsule,Tinnicar Capsule is used for the management of tinnitus (ringing in the ears) and abdominal pain.
Tusq-D Cough Lozenges Orange,Tusq-D Cough Lozenges Orange are primarily used for the relief of dry cough symptoms.
Thyronorm 62.5mcg Tablet,Thyronorm 62.5mcg Tablet is used for the treatment of hypothyroidism.
Tadact 10 Tablet,Tadact 10 Tablet is used to treat Erectile Dysfunction as well as Pulmonary Arterial Hypertension.
T-Minic Oral Drops Orange,T-Minic Oral Drops Orange are utilized for the treatment of common colds.
Telma 40 Tablet,"Telma 40 Tablet is utilized for the management of hypertension (high blood pressure), as well as the prevention of heart attacks and strokes, and also in the treatment of heart failure."
Telsar 40 Tablet,"Telsar 40 Tablet is utilized for the management of hypertension (high blood pressure), as well as for prevention of heart attacks and strokes, and treatment of heart failure."
Tellzy 40 Tablet,"Tellzy 40 Tablet is utilized for managing hypertension (high blood pressure), reducing the risk of heart attacks, and mitigating heart failure symptoms."
Telekast 10 Tablet,Telekast 10 Tablet is utilized for the management of asthma.
Topisal 3% Lotion,Topisal 3% Lotion is utilized for the treatment of skin conditions such as eczema and psoriasis.
Tropicacyl Plus Eye Drops,Tropicacyl Plus Eye Drops are utilized for the purpose of eye examinations.
Trigan D Tablet,Trigan D Tablet is utilized for relieving abdominal pain.
Tazloc 20 Tablet,"Tazloc 20 Tablet is utilized for managing hypertension (high blood pressure), reducing the risk of heart attacks, and preventing strokes as well as treating heart failure."
Teniva-M Tablet ER,Teniva-M Tablet ER is utilized for managing Type 2 diabetes mellitus.
Tobaflam Eye Drop,Tobaflam Eye Drop is utilized for the treatment of eye infections accompanied by inflammation.
Travatan Ophthalmic Solution,Travatan Ophthalmic Solution is utilized for the treatment of glaucoma and ocular hypertension.
Telma 80 Tablet,"Telma 80 Tablet is utilized for the management of hypertension (high blood pressure), prevention of heart attacks, and treatment of heart failure."
Thyrox 12.5 Tablet,Thyrox 12.5 Tablet is utilized for the treatment of hypothyroidism.
Topaz 50 Tablet,"Topaz 50 Tablet is utilized for the management of epileptic seizures, migraines, and Lennox-Gastaut syndrome."
Tenlimac Tablet,Tenimolac Tablet is used for the management of Type 2 diabetes mellitus.
Topinate Cream,Topinate Cream is utilized for managing various allergic skin conditions.
Triglynase 1 Tablet SR,Triglynase 1 Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Triglimiprex 2 Tablet SR,Triglimiprex 2 Tablet SR is used for the management of Type 2 diabetes mellitus.
Topirol 25 Tablet,"Topirol 25 Tablet is utilized for managing epileptic seizures, migraines, and Lennox-Gastaut syndrome."
Teczine Syrup,Teczine Syrup is used for managing various allergic conditions.
Taxim 500mg Injection,Taxim 500mg Injection is used for the treatment of various bacterial infections.
Tretiva 10 Capsule,Tretiva 10 Capsule is utilized for the treatment of acne.
Topisal 3% Ointment,Topisal 3% Ointment is utilized for the treatment of skin conditions such as eczema and psoriasis.
Tusq-X Plus Expectorant,Tusq-X Plus Expectorant is utilized for managing coughs associated with excess mucus production.
Telekast-L Kid Syrup,"Telekast-L Kid Syrup is administered for the relief of symptoms associated with sneezing and a runny nose caused by allergies, hay fever, and allergic skin conditions in children."
Tazloc-H Tablet,Tazloc-H Tablet is utilized for managing high blood pressure (Hypertension).
Tapease NS Nasal Spray,Tapease NS Nasal Spray is used for the management of moderate to severe pain.
Thyronorm 37.5mcg Tablet,Thyronorm 37.5mcg Tablet is used for the treatment of hypothyroidism.
Tazret Gel,Tazret Gel is utilized for the treatment of both psoriasis and acne conditions.
Temsan 40 Tablet,"Temsan 40 Tablet is utilized for managing conditions related to hypertension (high blood pressure), reducing the risk of heart attacks and strokes, as well as treating heart failure."
Terbest Cream,Terbest Cream is utilized for treating fungal skin infections.
Telsartan 40 Tablet,"Telsartan 40 Tablet is utilized for the management of hypertension (high blood pressure), as well as for the prevention of heart attacks, strokes, and heart failure."
Tropan 5 Tablet,Tropan 5 Tablet is used for managing symptoms associated with overactive bladder.
Telekast A Tablet PR,Telekast A Tablet PR is utilized for the management of Chronic Obstructive Pulmonary Disease (COPD) and alleviating symptoms such as sneezing and a runny nose associated with allergies.
Tear Drops Gel,Tear Drops Gel is designed to alleviate symptoms of dry eyes.
Tricium PTH Injection,Tricium PTH Injection is utilized for the treatment of Osteoporosis.
Tears Naturale Forte Ophthalmic Solution,Tears Naturale Forte Ophthalmic Solution is designed to alleviate symptoms associated with dry eyes.
Torplat 90 Tablet,Torplat 90 Tablet is utilized for the prevention and treatment of heart attacks and strokes.
Telvas-LN 40 Tablet,Telvas-LN 40 Tablet is used for managing hypertension (high blood pressure).
Triquilar Kit,Triquilar Kit is utilized for contraceptive purposes.
Telma 80-H Tablet,Telma 80-H Tablet is used for managing hypertension (high blood pressure).
Tide 5 Tablet,Tide 5 Tablet is used for managing conditions related to high blood pressure (Hypertension) and edema (fluid retention).
Tossex DMR Syrup Kiwi Sugar Free,Tossex DMR Syrup Kiwi Sugar Free is designed for the management of dry coughs.
Tolifast 150 Tablet,Tolifast 150 Tablet is utilized for the purpose of muscle relaxation.
Tidilan Retard Tablet SR,"Tidilan Retard Tablet SR is utilized for the management of premature labor, peripheral vascular disease, and in some instances, to prolong or induce labor."
Teczine M Tablet,"Teczine M Tablet is used for relieving symptoms of sneezing, a runny nose, and allergic skin conditions such as hay fever."
Tegrital CR 200 Divitabs,"Tegrital CR 200 Divitabs is utilized for the management of various conditions such as epilepsy and seizures, trigeminal neuralgia, and diabetic nerve pain."
Tolagin 4 Tablet,Tolagin 4 Tablet is used for relieving muscular pain.
Torglip 50 Tablet,Torglip 50 Tablet is used for the management of Type 2 diabetes mellitus.
Tonact-TG 20 Tablet,Tonact-TG 20 Tablet is used for managing high cholesterol levels and prevention of heart attacks.
Tavera M Tablet,Tavera M Tablet is utilized for relieving abdominal pain.
Torsid 10 Tablet,Torsid 10 Tablet is used for the management of hypertension (high blood pressure) and edema (swelling due to fluid retention).
Topp 40 Tablet,"Topp 40 Tablet is utilized for managing conditions such as heartburn, gastroesophageal reflux disease (GERD), peptic ulcer disease, and Zollinger-Ellison syndrome."
Tropan 2.5 Tablet,Tropan 2.5 Tablet is utilized for managing symptoms associated with overactive bladder.
Tolkem-D 150mg/50mg Tablet,Tolkem-D 150mg/50mg Tablet is used for managing pain resulting from muscle spasms.
Tenepride M  500 Tablet SR,Tenepride M 500 Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Trazine-H Tablet,Trazine-H Tablet is used for the treatment of Schizophrenia.
Terbest Tablet,Terbest Tablet is utilized for treating fungal infections.
Torfix 400 Tablet,Torfix 400 Tablet is used for the treatment of hepatic encephalopathy and infectious diarrhea.
Tafnat Tablet,Tafnat Tablet is utilized for the management of chronic Hepatitis B virus infection.
Terbicip Cream,Terbicip Cream is utilized for treating fungal skin infections.
Tolperitas-SR 450 Tablet,Tolperisol-SR 450 Tablet is used for the purpose of muscle relaxation.
Tranlok E 500mg/250mg Tablet,Tranlok E 500mg/250mg Tablet is used for managing heavy menstrual bleeding.
Tolifast D Tablet,Tolifast D Tablet is utilized for the alleviation of pain resulting from muscle spasms.
Telplus Tablet,Telplus Tablet is utilized for managing hypertension.
Tidomet Plus Tablet,Tidomet Plus Tablet is used for the management of symptoms associated with Parkinson's disease.
Tobox Eye Drop,Tobox Eye Drop is utilized for treating bacterial eye infections.
Thyronorm 125mcg Tablet,Thyronorm 125mcg Tablet is used for the treatment of hypothyroidism.
Tenoric 50 Tablet,Tenoric 50 Tablet is utilized for managing hypertension (high blood pressure).
Tugain 10% Solution,Tugain 10% Solution is used for the treatment of hair loss.
Trulicity 1.5mg Pre-Filled Pen,Trulicity 1.5mg Pre-Filled Pen is utilized for the management of Type 2 diabetes mellitus.
Ticavic 90 Tablet,Ticavic 90 Tablet is used for the treatment and prevention of heart attacks and strokes.
Trunex MS Aqueous Gel,Trunex MS Aqueous Gel is utilized for the treatment of acne as well as Acute Promyelocytic Leukemia.
Tenglyn M 500 Tablet SR,Tenglyn M 500 Tablet SR is used for the management of Type 2 diabetes mellitus.
TD Pill Tablet,TD Pill Tablet is utilized for managing premature ejaculation.
Tacroz Forte Ointment,Tacroz Forte Ointment is utilized for the treatment of atopic dermatitis.
Tobamist Respules,Tobamist Respules is utilized for the treatment of lung infections in patients suffering from cystic fibrosis.
Telista CL Tablet,Telista CL Tablet is used for managing hypertension (high blood pressure).
Tenovate GN Cream,Tenovate GN Cream is used for the treatment of bacterial skin infections.
Tuspel Plus Expectorant Strawberry,Tuspel Plus Expectorant Strawberry is utilized for the relief of cough symptoms.
Tolmove 150mg Tablet,Tolmove 150mg Tablet is used for the purpose of muscle relaxation.
Tribet 2 Tablet ER,Tribet 2 Tablet ER is utilized for the management of Type 2 diabetes mellitus.
Telista-CH 40 Tablet,Telista-CH 40 Tablet is used for the management of hypertension (high blood pressure).
Telma 80-AM Tablet,Telma 80-AM Tablet is used for the management of hypertension (high blood pressure).
Timolet Eye Drop,Timolet Eye Drop is utilized for the management of glaucoma and ocular hypertension.
Trigabantin 300 Tablet,Trigabantin 300 Tablet is utilized for managing neuropathic pain.
Tellzy-AM Tablet,"Tellzy-AM Tablet is used for managing high blood pressure, also known as hypertension."
Trimop Forte Tablet,Trimop Forte Tablet is utilized for the treatment of skin conditions such as Vitiligo and Psoriasis.
Telista-AM Tablet,"Telista-AM Tablet is utilized for managing hypertension, a condition characterized by elevated blood pressure."
Tadact 20 Tablet,Tadact 20 Tablet is used for treating both erectile dysfunction and pulmonary arterial hypertension.
Ticaspan Tablet,Ticaspan Tablet is utilized for the prevention and treatment of conditions related to heart attacks and strokes.
T-98 Paediatric Suspension,T-98 Pediatric Suspension is used for the alleviation of pain and reduction of fever in children.
Tsart 40 Tablet,"""Tsart 40 Tablet is utilized for the management of hypertension (high blood pressure), prevention of heart attacks, and treatment of heart failure."""
Tibrolin Tablet,Tibrolin Tablet is utilized for pain relief purposes.
Tranostat-MF Tablet,Tranostat-MF Tablet is utilized for managing heavy menstrual bleeding and alleviating associated menstrual pain.
Telmikind-H 80 Tablet,Telmikind-H 80 Tablet is used for managing hypertension (high blood pressure).
Telpres CT 40/6.25 Tablet,Telpres CT 40/6.25 Tablet is used for managing hypertension (high blood pressure).
Trapic 650 Tablet,Trapic 650 Tablet is utilized for managing conditions related to bleeding.
Triplixam 4mg/1.25mg/5mg Tablet,Triplixam 4mg/1.25mg/5mg Tablet is used for the treatment of hypertension (high blood pressure).
Torleva 500 Tablet,Torleva 500 Tablet is used for the management of epileptic seizures.
Tellzy-CH 40 Tablet,Tellzy-CH 40 Tablet is utilized for the management of hypertension (high blood pressure).
Tacmod Forte Ointment,Tacmod Forte Ointment is used for the treatment of atopic dermatitis.
Tacroz Forte XL Ointment,Tacroz Forte XL Ointment is utilized for the treatment of atopic dermatitis.
Tenepride 20 Tablet,Tenepride 20 Tablet is used for the management of Type 2 diabetes mellitus.
Tamlocept 0.4 Capsule PR,Tamlocept 0.4 Capsule PR is utilized for the treatment of benign prostatic hyperplasia.
Tinnitod 20mg Capsule,Tinnitod 20mg Capsule is used for the management of tinnitus (ringing in the ears) and abdominal pain.
Toff DC Syrup,Toff DC Syrup is used for the management of dry cough symptoms.
Takfa Forte Ointment,Takfa Forte Ointment is utilized for the treatment of atopic dermatitis.
Tiniba 300 Tablet,Tiniba 300 Tablet is used for the treatment of both bacterial and parasitic infections.
Tazzle 20 Tablet,Tazzle 20 Tablet is utilized for the treatment of Erectile dysfunction and Pulmonary arterial hypertension.
Tinzit Tablet,Tinzit Tablet is utilized as a cognitive enhancer.
Travacom Eye Drop,Travacom Eye Drop is utilized for the management of glaucoma and ocular hypertension.
Topamac 50mg Tablet,"Topamac 50mg Tablet is utilized for the management of epileptic seizures, migraines, and Lennox-Gastaut syndrome."
Takfresh Eye Drop,Takfresh Eye Drop is used for the relief of symptoms associated with dry eyes.
Telista MT 50 Tablet SR,Telista MT 50 Tablet SR is used for managing hypertension (high blood pressure).
Tolkem Tablet,Tolkem Tablet is used for the purpose of muscle relaxation.
Telmavas 40 Tablet,"Telmavas 40 Tablet is utilized for managing hypertension (high blood pressure), reducing the risk of heart attacks and strokes, and treating heart failure."
Teneliglip 20 Tablet,Teneliglip 20 Tablet is used for the management of Type 2 diabetes mellitus.
Tenefit-M Tablet SR,Tenefit-M Tablet SR is used for the management of Type 2 diabetes mellitus.
Tenglyn Tablet,Tenglyn Tablet is utilized for the management of Type 2 diabetes mellitus.
Trimacsart Tablet,Trimacsart Tablet is utilized for managing hypertension (high blood pressure).
Terol LA 2 Capsule ER,Terol LA 2 Capsule ER is used to manage symptoms associated with overactive bladder.
Telsar Beta 25 Tablet ER,Telsar Beta 25 Tablet ER is utilized for managing hypertension (high blood pressure).
Telmiride 40 Tablet,"Telmiride 40 Tablet is used for the management of hypertension (high blood pressure), reducing the risk of subsequent heart attacks, and managing heart failure."
Triopil 2 Tablet SR,Triopil 2 Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Tiova Rotacap,Tiova Rotacap is utilized for the management of chronic obstructive pulmonary disease (COPD).
Telpres CT 40/12.5 Tablet,Telpres CT 40/12.5 Tablet is used for the treatment of hypertension (high blood pressure).
Toplap Gel,Toplap Gel is utilized for providing local anesthesia.
Tugain 2% Solution,Tugain 2% Solution is utilized for the treatment of hair loss.
Ticstop Tablet,Ticstop Tablet is used for managing chorea (involuntary movements) associated with Huntington's disease.
Telmed 40 Tablet,"Telmed 40 Tablet is used for managing hypertension (high blood pressure), preventing heart attacks, and reducing the risk of strokes as well as treating heart failure."
Tamlocept-D Capsule PR,Tamlocept-D Capsule PR is utilized for the treatment of benign prostatic hyperplasia (BPH).
Thyronorm 88mcg Tablet,Thyronorm 88mcg Tablet is used for the treatment of hypothyroidism.
Tronin 0.05% Cream,Tronin 0.05% Cream is utilized for the treatment of acne and acute promyelocytic leukemia.
Triben B Cream,Triben B Cream is utilized for treating various fungal skin infections.
Tecum 0.1% Ointment,Tecum 0.1% Ointment is utilized for the treatment of atopic dermatitis.
Tenefit 20 Tablet,Tenefit 20 Tablet is used for the management of Type 2 diabetes mellitus.
Tegrital 100 Chewable Tablet,"Tegrital 100 Chewable Tablet is used for the management of epilepsy, seizures, trigeminal neuralgia, and diabetic nerve pain."
Tricort Tablet,Tricort Tablet is utilized for the treatment of both Rheumatoid arthritis and Osteoarthritis.
Trivedon MR Tablet,Trivedon MR Tablet is utilized for managing angina symptoms.
Telista-H Tablet,"Telista-H Tablet is used for managing hypertension, or high blood pressure."
Thromboscar Gel,Thromboscar Gel is utilized for treating burns.
Tretin-Iso 20 Capsule,Tretin-Iso 20 Capsule is utilized for the treatment of acne.
T-98 DS Suspension,T-98 DS Suspension is utilized for pain relief and reducing fever symptoms.
Telmiduce 40mg Tablet,"Telmiduce 40mg Tablet is utilized for the management of hypertension (high blood pressure), prevention of heart attacks, and treatment of heart failure."
Topisal 3% Lotion,Topisal 3% Lotion is utilized for the management of skin conditions such as eczema and psoriasis.
Torex Junior Syrup,Torex Junior Syrup is used for the relief of dry cough symptoms.
Triglynase 2 Forte Tablet SR,Triglynase 2 Forte Tablet SR is used for the management of Type 2 diabetes mellitus.
Terbest Cream,Terbest Cream is utilized for the treatment of fungal skin infections.
Triben- B Lotion,Triben-B Lotion is used for treating fungal skin infections.
Torsid 5 Tablet,Torsid 5 Tablet is used for the management of hypertension (high blood pressure) and edema (swelling due to excess fluid in body tissues).
Telsartan-AM Tablet,Telsartan-AM Tablet is used for the management of hypertension (high blood pressure).
Telvas 3D 80 Tablet,Telvas 3D 80 Tablet is utilized for the management of hypertension (high blood pressure).
Toff DC Tablet,Toff DC Tablet is utilized for managing symptoms of dry cough.
Telsar Beta 50 Tablet ER,Telsar Beta 50 Tablet ER is utilized for the management of hypertension (high blood pressure).
Temsan-H Tablet,Temsan-H Tablet is used for managing hypertension (high blood pressure).
Tah 40 Tablet,Tah 40 Tablet is utilized for the management of hypertension (high blood pressure).
Tebokan Forte Tablet,Tebokan Forte Tablet is utilized for providing pain relief.
Tenacid MF Tablet,Tenacid MF Tablet is utilized for managing heavy menstrual bleeding and alleviating associated menstrual pain.
Tripride 1 Tablet SR,Tripride 1 Tablet SR is used for the management of Type 2 diabetes mellitus.
Ticagat Tablet,Ticagrelor Tablet is used for the prevention of heart attacks and strokes.
Triolmezest Tablet,Triolmezest Tablet is utilized for managing hypertension (high blood pressure).
Trazonil 50 Tablet,Trazodone 50 Tablet is used for the treatment of depression.
Tyza M Gel,Tyza M Gel is utilized for the treatment of fungal skin infections.
Thyronorm 150mcg Tablet,Thyronorm 150mcg Tablet is utilized for the management of hypothyroidism.
Tazloc Trio 80 Tablet,Tazloc Trio 80 Tablet is used for managing high blood pressure (hypertension).
Talimus Ointment,Talimus Ointment is utilized for the treatment of atopic dermatitis.
Trioflam Tablet,Trioflam Tablet is used for providing pain relief.
Tadaza 10mg/30mg Tablet,Tadaza 10mg/30mg Tablet is indicated for the treatment of premature ejaculation.
Thalix 50 Capsule,Thalix 50 Capsule is used for the treatment of multiple myeloma and leprosy reactions.
Tazloc-CT 6.25 Tablet,Tazloc-CT 6.25 Tablet is used for managing hypertension (high blood pressure).
Triplent 10mg Tablet,"Triplent 10mg Tablet is utilized for the management of depression, neuropathic pain, and migraines."
Trfy 250 Tablet,Trfy 250 Tablet is used for the treatment of various fungal infections.
Thichoren AC 4 Tablet,Thichoren AC 4 Tablet is utilized for managing pain resulting from muscle spasms.
Tsart Trio 12.5 Tablet,Tsart Trio 12.5 Tablet is utilized for the management of hypertension (high blood pressure).
Tyza Cream,Tyza Cream is utilized for treating fungal skin infections.
Telma 20 Tablet,"Telma 20 Tablet is used for the management of hypertension (high blood pressure), prevention of heart attacks, and treatment of heart failure."
Tazret Forte Cream,Tazret Forte Cream is utilized for the management of skin conditions such as psoriasis and acne.
Taximax 1500 mg Injection,Taximax 1500mg Injection is used for the treatment of various bacterial infections.
